brand,model,price,description,category,country,source,sourceType,url
Philips,55PUS7303/12,199 999 Ft,"Philips 55PUS7303/12 55"" Ultra HD LED Tv",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/philips-55pus7303-12-55-ultra-hd-led-tv/p/222853
Sony,XSFB6920E.EUR,20 999 Ft,Sony XSFB6920E.EUR Autóhangszóró,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/sony-xsfb6920e-eur-autohangszoro/p/215703
Samsung,QE85Q900RATXXH,4 699 999 Ft,Samsung QE85Q900RATXXH 8K Smart QLED Tv,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/samsung-qe85q900ratxxh-8k-smart-qled-tv/p/223563
Samsung,HW-K335/EN,36 999 Ft,Samsung HW-K335/EN Hangprojektor,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/samsung-hw-k335-en-hangprojektor/p/213479
LG,49UK6300MLB,134 999 Ft,"LG 49UK6300MLB Ultra HD 49"" Smart LED Televízió",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/lg-49uk6300mlb-ultra-hd-49-smart-led-televizio-/p/223596
LG,SJ2,39 999 Ft,LG SJ2 Hangprojektor vezeték nélküli mélynyomóval,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/lg-sj2-hangprojektor-vezetek-nelkuli-melynyomoval/p/212898
Gaba,GLV-3240,39 999 Ft,Gaba GLV-3240 HD Ready LED Tv,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/gaba-glv-3240-hd-ready-led-tv/p/217388
Samsung,UE43NU7022KXXH,109 999 Ft,"Samsung UE43NU7022KXXH LED 43"" SMART Televízió",tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/samsung-ue43nu7022kxxh-led-43-smart-televizio/p/222857
LG,50UK6300MLB,139 999 Ft,LG 50UK6300MLB 4K Ultra HD Smart LED Tv,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/lg-50uk6300mlb-4k-ultra-hd-smart-led-tv/p/221122
Home,URC,1 199 Ft,Home URC 23 Univerzális Távirányító,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/home-urc-23-univerzalis-taviranyito/p/204538
Home,URC,1 099 Ft,Home URC 22 Univerzális Távirányító,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/home-urc-22-univerzalis-taviranyito/p/204537
HAMA,46020:,3 399 Ft,HAMA 46020: Dinamikus mikrofon dm 20,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/hama-46020-dinamikus-mikrofon-dm-20/p/127738
ConCorde,C630MSD,8 999 Ft,ConCorde C630MSD Fekete 4 GB,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/concorde-c630msd-fekete-4-gb/p/165184
ConCorde,C630MSD,9 299 Ft,ConCorde C630MSD FEHÉR 4 GB,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/concorde-c630msd-feher-4-gb/p/165183
ConCorde,D230,4 199 Ft,ConCorde D230 FEH 4GB,tv-audio-video,Hungary,Euronics (Hungary),online,https://euronics.hu/termekek/concorde-d230-feh-4gb/p/146968
