url,description,price,source,category
http://www.reliancedigital.in/tvs-audio/flat-television/sony-xbr-65a1e-ultra-hd-smart-4k-oled-tv-165-cm-65.html,"Sony XBR-65A1E Ultra HD Smart 4K OLED TV, 165 cm (65)","Rs. 399,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-5-ua49m5100arlxl-full-hd-led-tv-124-46-cm-49.html,"Samsung Series 5 UA49M5100ARLXL Full HD LED TV, 124.46 cm (49)","Rs. 51,200",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-6-ua43mu6100wxxy-ultra-hd-smart-led-tv-109-22-cm-43.html,"Samsung Series 6 UA43MU6100WXXY Ultra HD Smart LED TV, 109.22 cm (43)","Rs. 56,300",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-6-ua49m6300aklxl-full-hd-smart-curved-led-tv-123-cm-49.html,"Samsung Series 6 UA49M6300AKLXL Full HD Smart Curved LED TV, 123 cm (49)","Rs. 64,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-6-ua55m6300aklxl-full-hd-smart-curved-led-tv-138-cm-55.html,"Samsung Series 6 UA55M6300AKLXL Full HD Smart Curved LED TV, 138 cm (55)","Rs. 97,100",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-6-ua50mu6100wxxy-ultra-hd-smart-led-tv-127-cm-50.html,"Samsung Series 6 UA50MU6100WXXY Ultra HD Smart LED TV, 127 cm (50)","Rs. 83,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-5-ua43k5002akxxl-full-hd-led-tv-108-cm-43.html,"Samsung Series 5 UA43K5002AKXXL Full HD LED TV, 108 cm (43)","Rs. 41,300",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-5-ua32k5300arlxl-full-hd-smart-led-tv-80-cm-32.html,"Samsung Series 5 UA32K5300ARLXL Full HD Smart LED TV, 80 cm (32)","Rs. 36,300",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-bravia-xbr-55a1e-ultra-hd-smart-4k-oled-tv-139-7-cm-55.html,"Sony Bravia XBR-55A1E Ultra HD Smart 4K OLED TV, 139.7 cm (55)","Rs. 299,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-49lj617t-full-hd-smart-led-tv-123-cm-49.html,"LG 49LJ617T Full HD Smart LED TV, 123 cm (49)","Rs. 67,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-43uj652t-ultra-hd-smart-led-tv-108-cm-43.html,"LG 43UJ652T Ultra HD Smart LED TV, 108 cm (43)","Rs. 67,090",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-7-ue75mu7000txxu-ultra-hd-smart-4k-led-tv-190-5-cm-75.html,"Samsung Series 7 UE75MU7000TXXU Ultra HD Smart 4K LED TV, 190.5 cm (75)","Rs. 499,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-oled55e7t-ultra-hd-smart-oled-tv-138-cm-55.html,"LG OLED55E7T Ultra HD Smart OLED TV, 138 cm (55)","Rs. 309,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-7-ue49mu7000txxu-ultra-hd-smart-4k-led-tv-124-46-cm-49.html,"Samsung Series 7 UE49MU7000TXXU Ultra HD Smart 4K LED TV, 124.46 cm (49)","Rs. 117,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-kd-85x8500d-ultra-hd-smart-4k-led-tv-215-cm-85.html,"Sony KD-85X8500D Ultra HD Smart 4K LED TV, 215 cm (85)","Rs. 999,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-43uj752t-ultra-hd-smart-4k-led-tv-108-43.html,"LG 43UJ752T Ultra HD Smart 4K LED TV, 108 (43)","Rs. 74,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-32lj573d-hd-smart-led-tv-80-cm-32.html,"LG 32LJ573D HD Smart LED TV, 80 cm (32)","Rs. 26,690",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-43lj554t-full-hd-smart-led-tv-108-cm-43.html,"LG 43LJ554T Full HD Smart LED TV, 108 cm (43)","Rs. 48,290",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/reconnect-releb4304-full-hd-smart-led-tv-109-22-cm-43.html,"Reconnect RELEB4304 Full HD Smart LED TV, 109.22 cm (43)","Rs. 27,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/reconnect-releb3207-hd-smart-led-tv-81-28-cm-32.html,"Reconnect RELEB3207 HD Smart LED TV, 81.28 cm (32)","Rs. 18,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sharp-aquos-lc-60ua6800x-ultra-hd-smart-4k-led-tv-152-4-cm-60.html,"Sharp Aquos LC-60UA6800X Ultra HD Smart 4K LED TV, 152.4 cm (60)","Rs. 99,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sharp-aquos-lc-40le380x-full-hd-smart-led-tv-101-6-cm-40.html,"Sharp Aquos LC-40LE380X Full HD Smart LED TV, 101.6 cm (40)","Rs. 32,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sharp-aquos-lc-50ua6800x-ultra-hd-smart-4k-led-tv-127-cm-50.html,"Sharp Aquos LC-50UA6800X Ultra HD Smart 4K LED TV, 127 cm (50)","Rs. 69,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sharp-aquos-lc-50ua6500x-ultra-hd-smart-4k-led-tv-127-cm-50.html,"Sharp Aquos LC-50UA6500X Ultra HD Smart 4K LED TV, 127 cm (50)","Rs. 59,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/reconnect-releg4901-full-hd-led-tv-49-inch-124-46-cm.html,"Reconnect RELEG4901 Full HD LED TV, 124.46 cm (49)","Rs. 34,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/reconnect-55u5570-ultra-hd-led-tv-139-7-cm-55.html,"Reconnect 55U5570 Ultra HD LED TV, 139.7 cm (55)","Rs. 42,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/vu-popsmart-50bs115-full-hd-smart-led-tv-124-cm-49.html,"VU PopSmart 50BS115 Full HD Smart LED TV, 124 cm (49)","Rs. 39,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-klv-32r422e-hd-ready-led-tv-80-cm-32.html,"Sony KLV-32R422E HD Ready LED TV, 80 cm (32)","Rs. 27,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sony-klv-32w672e-full-hd-smart-led-tv-81-28-cm-32.html,"Sony KLV-32W672E Full HD Smart LED TV, 81.28 cm (32)","Rs. 35,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/lg-32lj542d-hd-ready-led-tv-80-cm-32.html,"LG 32LJ542D HD Ready LED TV, 80 cm (32)","Rs. 24,490",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/reconnect-releg3903-hd-ready-led-tv-99-cm-39.html,"Reconnect RELEG3903 HD Ready LED TV, 99 cm (39)","Rs. 17,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/sharp-aquos-lc-32sa4500x-hd-smart-led-tv-81-28-cm-32.html,"Sharp Aquos LC-32SA4500X HD Smart LED TV, 81.28 cm (32)","Rs. 21,990",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-4-ua24h4003ar-hd-led-tv-24-inch-60-96-cm.html,"Samsung Series 4 UA24H4003AR HD LED TV, 60.96 cm (24)","Rs. 14,200",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-4-32fh4003-hd-led-tv-32-inch-81-28-cm.html,"Samsung Series 4 32FH4003 HD LED TV, 81.28 cm (32)","Rs. 22,900",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/samsung-series-4-24j4100-hd-led-tv-24-inch-60-96-cm.html,"Samsung Series 4 24J4100 HD LED TV, 60.96 cm (24)","Rs. 15,200",reliancedigital,tv
http://www.reliancedigital.in/tvs-audio/flat-television/reconnect-relee5502-ultra-hd-smart-4k-led-tv-55-inch-139-7-cm.html,"Reconnect RELEE5502 Ultra HD Smart 4K LED TV, 139.7 cm (55)","Rs. 44,990",reliancedigital,tv
