url,keyfeatures,brand,price,source,category
https://www.croma.com/croma-81cm-32-inch-hd-ready-led-tv-black-el7315-/p/205599,"[""HDR (1366 x 768)p"",""A + Grade, Zero Dot Panel"",""2 x HDMI | 2 x USB"",""Bluetooth Enabled""]","Croma 81cm (32 inch) HD Ready LED TV (Black, EL7315)","11,994",croma,tv
https://www.croma.com/croma-led-full-hd-122cm-48inch-el7330/p/206591,"[""48 Inches Wide Screen Experience"",""USB And HDMI Connectivity"",""A + Grade, Zero Dot Panel"",""2 x 10W Audio Output Power"",""USB Movies (Plays Almost All Audio, Video Formats)""]",Croma LED Full HD 122cm (48inch) - EL7330,"24,994",croma,tv
https://www.croma.com/samsung-138-cm-55-inch-4k-ultra-hd-frame-led-smart-tv-black-55ls003-/p/206862,"[""4K UHD Picture Quality"",""HDR Technology"",""Fashion Art Feature"",""Light Sensor Technology"",""HDMI and USB Connectivity""]","Samsung 138 cm (55 inch) 4k Ultra HD Frame LED Smart TV (Black, 55LS003)","219,900",croma,tv
https://www.croma.com/panasonic-led-140cm-th-55ex600d/p/203422,"[""Sleek Design with a Flexible Pedestal"",""Natural 6-Colour Reproduction"",""4K Picture Quality"",""IPS LED Super Bright Plus Technology"",""Picture Uniformity Sheet""]",PANASONIC LED 140cm TH-55EX600D,"101,990",croma,tv
https://www.croma.com/panasonic-140cm-55inch-4k-ultra-hd-tv-th-55ex600d-/p/203423,"[""4K Hexa Chroma Drive"",""IPS LED Superbright Plus Panel"",""Pure Picture Uniformity Sheet"",""Noise Reduction Feature"",""In-Built Home Theatre""]",Panasonic 140cm (55inch) 4K ULTRA HD TV (TH-55EX600D),"101,990",croma,tv
https://www.croma.com/panasonic-th-32e400d-80cm-32inch-hd-led-tv/p/203380,"["" 80 Cms Wide Vibrant Display "","" Audio V surround Technology"","" Dot Noise Reduction"","" HDMI Connectivity""]",Panasonic TH-32E400D 80cm (32inch) HD LED TV,"23,900",croma,tv
https://www.croma.com/panasonic-th-32es500d-80cm-32inch-hd-led-tv/p/203383,"["" Wide Vibrant Display "","" Hexa Chroma Drive Technology "","" Transmissive LED Panel "","" V-Audio System "","" USB 2.0 Ports ""]",Panasonic TH-32ES500D 80cm (32inch) HD LED TV,"32,990",croma,tv
https://www.croma.com/panasonic-led-100cm-th-39e200dx/p/203386,"[""16W Full Range Speakers"",""USB And HDMI Connectivity"",""39 Inches HD Ready Display"",""Noise Reduction Feature"",""V-audio Surround Sound""]",PANASONIC LED 100cm TH-39E200DX,"36,500",croma,tv
https://www.croma.com/panasonic-led-103cm-th-40e400d/p/203389,"["" 103 cm Wide Vibrant Display"","" Dot Reduction Technology"","" Vivid Digital Pro Technology"","" An Array of Connectivity Options""]",PANASONIC LED 103cm TH-40E400D,"39,900",croma,tv
https://www.croma.com/panasonic-led-109cm-th-40es500d/p/203392,"[""Sleek Design"",""Natural 6-Colour Reproduction"",""Highly Efficient Backlight System"",""Super Bright Panel"",""Wireless Media""]",PANASONIC LED 109cm TH-40ES500D,"46,990",croma,tv
https://www.croma.com/panasonic-led-109cm-th-43es480dx/p/203395,"[""20W Full Range Speakers"",""USB And HDMI Connectivity"",""43 Inches Full HD Display"",""Super Bright Panel Plus"",""Dual Core Processor""]",PANASONIC LED 109cm TH-43ES480DX,"51,900",croma,tv
https://www.croma.com/panasonic-109cm-43inch-full-hd-led-tv-th-43es480dx-/p/203396,"[""Adaptive Backlight Dimming"",""Vivid Digital Pro"",""Built-In Home Theatre System"",""Dot Noise Reduction Feature"",""IPS LED Superbright Plus Panel""]",Panasonic 109cm (43inch) Full HD LED TV (TH-43ES480DX),"51,900",croma,tv
https://www.croma.com/panasonic-th-43es630d-109cm-43inch-full-hd-led-tv/p/203398,"[""Full HD Pictures"",""Hexa Chroma Drive"",""Natural 6-Colour Reproduction"",""IPS LED Super Bright Plus Technology"",""Powerful Woofer 2.1""]",Panasonic TH-43ES630D 109cm (43inch) Full HD LED TV,"58,590",croma,tv
https://www.croma.com/panasonic-led-109cm-th-43ex600d/p/203401,"[""Sleek Design with a Flexible Pedestal"",""Natural 6-Colour Reproduction"",""4K Picture Quality"",""High Dynamic Range Enabled"",""IPS LED Super Bright Plus Technology""]",PANASONIC LED 109cm TH-43EX600D,"63,990",croma,tv
https://www.croma.com/panasonic-109cm-43inch-4k-led-tv-back-th-43ex600d-/p/203402,"[""4K Hexa Chroma Drive"",""IPS LED Superbright Plus Panel"",""Pure Picture Uniformity Sheet"",""Noise Reduction Feature"",""In-Built Home Theatre""]","Panasonic 109cm (43inch) 4K LED TV (Back, TH-43EX600D)","63,990",croma,tv
https://www.croma.com/panasonic-th-49e400d-124cm-49inch-full-hd-led-tv/p/203404,"[""Adaptive Backlight Dimming"",""Vivid Digital Pro"",""200Hz BMR"",""Dot Noise Reduction"",""HDMI and USB Inputs""]",Panasonic TH-49E400D 124cm (49inch) Full HD LED TV,"53,900",croma,tv
https://www.croma.com/panasonic-led-124cm-th-49e460d/p/203407,"[""Dot Noise Reduction"",""Powerful 2.1 Woofer"",""Natural 6-Colour Reproduction"",""Multiple HDMI Ports"",""Hexa Chroma Drive""]",PANASONIC LED 124cm TH-49E460D,"54,900",croma,tv
