Brand,Model Name,Category,HDMI,Sale Price(₹),Regular Price(₹),Seller
OYD,Anycast M4 Plus Wifi Display Dongle 1080P HDMI TV Stick Wireless Display Adapter Support Miracast Airplay DLNA Streaming Video From Phone To Big Screen Black,"1 * Wireless Airplay Wi-Fi Display Dongle Receiver, 1 * USB cable","Yes, NA","1,199","1,999",HINDUSTANSTORE (4)
AlexVyan,1080P HDMI to AV 3RCA CVBs Composite Video Audio Converter Adapter Supporting PAL/NTSC with USB Charge Cable for PC Laptop Xbox PS4 PS3 TV STB VHS VCR Camera DVD with USB Power Cable,1 HDMi to AV,Yes,715,"1,299",AVB (3.9)
Teratech,2 Port VGA Switch -For Two PC To Share One Monitor & Speaker System,1,No,284,"1,199",Ineshfashion (4.3)
Digimart,HDMI Switch 3x1 Ports with Remote Control,"1 Hdmi Switch, Remote",Yes,899,"1,499",TechSense (3.9)
Outre,Wireless Display Dongle Mira-cast Airplay,1 HDMI DONGLE,Yes,"1,499","2,999",BEOUTRE (3.8)
OYD,"WIFI Display Dongle, Anycast M4 Plus 1080P Wireless Display Adapter Digital AV to HDMI Connector TV Receiver Stick for iOS/Android/Windows/MAC OSX/Projector,Support DLNA/Airplay Mirror/Miracast/Ezcast","1 * Wireless Airplay Wi-Fi Display Dongle Receiver, 1 * USB cable","Yes, NA","1,199","1,999",HINDUSTANSTORE (4)
Apple,TV,"1 Selector Box, Power Cable, Lightning to USB Cable","Yes, HDMI 1.4","15,900",,RetailNet (4.2)
Trost,Dongle Wireless Display Media Streaming Device,"1 HDMI Dongle, 1 Cable, 1 Manual",Yes,"1,095","2,490",Shoppozon (3.8)
BJOS,EZ Cast WIFI Dongle Wireless Connector Reciver For Smartphones TV Laptop Media Streaming Device (Black) Media Streaming Device (Black),"1 Anycast, 1 Cable, 1 User Manual",Yes,945,"2,996",KaranEN
Google,Chromecast 2,"Chromecast 2, Power Cable and Power Adaptor",Yes,"3,399",,RetailNet (4.2)
ANDTRONICS,8 Port HDMI Splitter 1 In 8 Out - 4Kx2K Ultra HD and 3D Full HD Resolutions 1080P,"1 x 8 Port HDMI Splitter, 1 x DC Adapter","Yes, HDMI 1.4","2,299","3,000",SuperShopperIndia (3.7)
BJOS,M2 Plus Miracast Airplay DLNA HDMI WiFi Dongle Media Streaming Device (Black),"1 Anycast, 1 Cable, 1 User Manual",Yes,945,"2,997",KaranEN
BJOS,MIRACAST Wifi Display Dongle Media Streaming Device (Black),1 Medai streaming device,Yes,"1,294","5,997",KaranEN
BJOS,"H.265 Decoding Dual Core 1080P Wireless TV Dongle, Wecast E8 Tv Stick Wireless Usb Adapter Mirror Screen Dlna Miracast Receiver Hdmi Wifi Display Dongle Media Streaming Device (Black)",1 Medai streaming device,Yes,"1,398","5,999",KaranEN
BJOS,Superior Quality cast Dongle Wireless Display Receiver Support sharing Online Streaming to Tv (Black) JGDF4351 Media Streaming Device (Black),"1 Anycast, 1 Cable, 1 User Manual",Yes,945,"2,999",KaranEN
BJOS,"H.265 Decoding Dual Core 1080P Wireless TV Dongle, Wecast E8 Tv Stick Wireless Usb Adapter Mirror Screen Dlna Miracast Receiver Media Streaming Device (Black)",1 Medai streaming device,Yes,"1,397","5,997",KaranEN
Ophion,3 Port HDMI Splitter,Selector Box,Yes,449,"2,000",BUYME24x7 (4)
UNUIGA,T96N+ Android TV Box RK3328 Quad-Core 4GB RAM 32GB ROM Android 7.1 WiFi 2.4G/5.8G Lan 1000M Bluetooth 4.1 Internet TV Box,"1 X Main Unit, 1 X Remote Controller (without Batteries), 1 X HDMI Cable, 1 X Power Adapter, 1 X User Manual","Yes, 2.0","5,499","7,999",PROFITECH (4.3)
BJOS,Anycast Plus DLNA Airplay WiFi Display Miracast TV Dongle Stick HDMI Receiver Media Streaming Device (Black) Media Streaming Device (Black),"1 Anycast, 1 Cable, 1 User Manual",Yes,949,"2,998",kusumecomm (4)
Shopfloor.XYZ,"Smart TV Dongle ,Wireless WiFi Display TV Dongle Receiver Adapter 1080P HD Stick Dlan Miracast for Smart Phones Tablet PC (Black)","1 * Wireless Airplay Wi-Fi Display Dongle Receiver, 1 * USB cable","Yes, NA","1,199","1,999",QUICKSALEPLANET
comp gravit,Anycast Dongle Wireless Display Receiver Support sharing Online Streaming to Tv (Black) HGHY2853 Media Streaming Device (Black) Media Streaming Device (Black),"1 * Wireless Airplay Wi-Fi Display Dongle Receiver, 1 * USB cable",Yes,"1,199","2,099",INDIASTORES
Shopfloor.XYZ,AnyCast M2 Plus 1080P 3D WiFi Wireless Mini Display Receiver Dongle HDMI TV Miracast DLNA Airplay for IOS Apple iPhone iPad Android Smartphone Windows Mac 2.,"1 * Wireless Airplay Wi-Fi Display Dongle Receiver, 1 * USB cable","Yes, NA","1,199","1,999",QUICKSALEPLANET
Smart Pro,VGA to HDMI Converter Mini,Selector Box,"Yes, Yes, HDMI 1.1, HDMI 1.3","1,425","1,999",Britronics (3.5)
Digital Alphabets,Android TV Box,"Tv Box , Connect cable",Yes,"2,949","3,699",DigitalAlphabets
Blendia,1x4 HDMI Splitter,HDMi Splitter-Power Supply Adapter- User Manual,Yes,"1,139","2,999",LAPSON (4.1)
Blendia,1X8 Mini HDMI Splitter,1 HDMI Splitter,Yes,"3,799","3,999",LAPSON (4.1)
Blendia,1x4 HDMI Splitter Media Device,HDMi Splitter-Power Supply Adapter- User Manual,Yes,"1,139","2,499",LAPSON (4.1)
Elegant Shopping,Anycast Wifi HDMI Dongle Wireless Display Media Streaming -01,"1 Wireless Airplay Wi-Fi Display Dongle Receiver,","Yes, 1.00","1,725","2,999",ELEGANTSHOPPYNG (3.5)
MXQ,Pro Android TV Box Amlogic S905 Quad Core 5.1OS DDR3 1G HDMI 2.0 WIFI 4K 1080i/p Kodi 16.0,"Selector Box, Remote Control, HDMI to HDMI cable, AC Power Adapter, User Manual",Yes,"2,599","6,999",ArtekWebDistributors (3.9)
Blendia,1 x 1x4 3D Support HDMI Splitter,1 x 1x4 3D Support HDMI Splitter,Yes,"1,139","3,999",LAPSON (4.1)
Blendia,1x8 HDMI Splitter,HDMi Splitter-Power Supply Adapter- User Manual,Yes,"2,564","4,999",LAPSON (4.1)
Etake,"60m VGA to RJ45 Signal Extender,Converter Over Ethernet Cable Transmitter and Receiver",1,No,711,"1,499",Ineshfashion (4.3)
OYD,Anycast Dongle Wireless Display Receiver Support sharing Online Streaming to Tv (Black) HGHY2853 Media Streaming Device (Black),"1 * Wireless Airplay Wi-Fi Display Dongle Receiver, 1 * USB cable","Yes, NA","1,199","1,999",HINDUSTANSTORE (4)
MX,4 Ports USB 2.0 KVM Switch Connect 4 CPU to single monitor with Keyboard & Mouse - Multi DVR NVR Controller,1 selector box,No,"2,499","6,295",MXMDRTECHNOLOGIESLTD (4.2)
MX,HD 3G SDI To HDMI Converter 1080p with 2 SDI outputs,1 SDI to HDMi Converter,"Yes, HDMI 1.4 Version","8,999","43,500",MXMDRTECHNOLOGIESLTD (4.2)
Schnell,SCH501SW,"HDMI Switch, Power Adopter, Remote Control, Operation manual","Yes, HDMI 1.3, HDMI 1.4","1,499","2,499",SmartTech (3.7)
Microware,Port Hdmi Switch 3-In And 1-Out - 1080px Media Streaming Device (Black),1 x 3 Port HDMI Switch,Yes,599,"1,499",SmartTech (3.7)
Schnell,Vga To Hdmi Converter,"VGA to HDMI Converter, Power Adopter, Operation manual","Yes, HDMI 1.3","1,299","1,999",SmartTech (3.7)
PTron,MXQ Droid PC Smart TV Box,"Selector Box, Remote Control, HDMI to HDMI cable, AC Power Adapter",Yes,"2,199","9,999",Palred (4.2)
Axcess,Male/Female 180degree Swivel,1 HDMI Coupler,Yes,329,999,SmartShopee (3.8)
Teratech,"Black HDMI Female to DVI-I Male (24+5) Pin Adapter,Converter,Connector Gold Plated",1,Yes,284,699,Ineshfashion (4.3)
Axcess,HDMI Audio Extractor Splitter HDMI to HDMI + SPDIF RCA Stereo L/R Audio Output Digital to Analog Audio De-embedder,1x HDMI TO HDMI + Audio(SPDIF+L/R) 1x DC5V Power Adaptor 1x Use Manual,Yes,"2,499","3,499",SmartShopee (3.8)
KBOOM,2,1 selector box,"Yes, YES","2,199","3,399",EotOriginalProducts (3.3)
BJOS,Anycast Dongle Wireless Display Receiver Support sharing Online Streaming to Tv (Black) TYOH5671 Media Streaming Device (Black) Media Streaming Device (Black),1 Anycast Dongle,Yes,949,"2,997",kusumecomm (4)
Smart Tech,Mini VGA To AV Converter,1 VGA to AV Converter,No,"1,599","1,999",SmartTech (3.7)
OVIO,X96 Mini Android 7.1 Smart TV BOX 2GB 16GB WiFi UHD 4K Miracast with C10 Air Fly Mouse with 6 axis Gyro,1 x X96 MINI S905W 2G/16G TV Box 1 x HDMI Cable 1 x Remote Control 1 x Power Adapter 1 x User Manual 1 x C10 Air Fly Mouse (with box contents),Yes,"4,950","7,450",TMALL
ACUTAS,2 Port USB 2.0 Plus KVM Switch Box Control up to 2 Computers,1 selector box,No,799,"1,999",ACUTASSTORE (3.8)
Stealodeal,Black Metal AV to HDMI Converter Mini,"1 x Hdmi Converter, 1x USB power cable, 1x User Manual",Yes,"1,349","1,999",StealOdeal (3.9)
VU4,1x2 HDMI Splitter,HDMI Splitter-Power Supply Adapter- User Manual,Yes,999,"1,999",QUICKDEEL (3.5)
Terabyte,HDMI 1 x 4 Full HD 1080P Support 3D v1.4,"1 x 4 Port HDMI Splitter, 1 x DC Adapter, 1 x User Manual","Yes, HDMI 1.4","1,225","1,900",SuperShopperIndia (3.7)
MX,HDMI to VGA Converter Adapter Box With Audio 1080p for PC Laptop PS3 Projector,1 HDMI to VGA Converter,"Yes, 1.4",799,"1,350",MXMDRTECHNOLOGIESLTD (4.2)
Piqancy,"Anycast Smart TV Dongle ,Wireless WiFi Display TV Dongle Receiver Adapter 1080P HD Stick Dlan Miracast for Smart Phones Tablet PC (Black)",1 unit,Yes,999,"2,999",JagdambaEntrprises (3.7)
Teratech,HDMI,1,Yes,284,499,Ineshfashion (4.3)
Apple,MLNC2HN/A,"Apple TV, Remote, Power Cord,",Yes,"15,999","20,300",UmangBusiness
BJOS,"Anycast Wifi HDMI 2 in 1 Adapter, Dongle DX - 001 Media Streaming Device (Black)",1 Anycast Dongle,Yes,949,"2,997",kusumecomm (4)
AlexVyan,1 Pcs Special 1080P HDMI to AV 3RCA CVBs Composite Video Audio Converter Adapter Supporting PAL/NTSC with USB Charge Cable for PC Laptop Xbox PS4 PS3 TV STB VHS VCR Camera DVD with USB Power Cable,1 HDMi to AV converter,Yes,749,"1,299",AVB (3.9)
AlexVyan,"Mini DisplayPort to VGA Adapter ( Thunderbolt ) Mini Dp to VGA For Apple Devices, MacBook, MacBook Air, MacBook Pro, iMac, Mac Mini, & Mac Pro desktops, PC, and Tablets",1 DP to VGA,No,299,499,AVB (3.9)
Generix,Mini VGA Audio to HDMI 1080P Converter Adapter,1 VGA 2 HDMI Adapter,Yes,999,"1,499",TechSense (3.9)
Piqancy,Anycast M2 Plus Mini Wi-Fi Display Dongle Receiver 1080P Airmirror DLNA Airplay Miracast Easy Sharing HDMI Port + Anoder box for HDTV Smart Phones Notebook Tablet PC,1 selector box,Yes,999,"2,999",JagdambaEntrprises (3.7)
MBOX,MBOX X96 Mini,1 x X96 MINI S905W 2G/16G TV Box 1 x HDMI Cable 1 x Remote Control 1 x Power Adapter 1 x User Manual,"Yes, 2.0","3,860","5,990",Digicartz (3.8)
FKU,1x4 HDMI Splitter,HDMi Splitter-Power Supply Adapter- User Manual,"Yes, HDMI 1.3, HDMI 1.4","1,139","2,999",LAPSON (4.1)
ReTrack,Wireless Display Dongle AnyCast Airplay Media Streaming Device With WIFI Data Cable,1 HDMI DONGLE 1 CABLE,Yes,"1,099","1,999",ReTrack (3.8)
Apple,TV 32 GB-Model A 1625,"Apple TV, Siri Remote, Power Cord","Yes, HDMI 1.43","12,499","15,300",UmangBusiness
Piqancy,AnyCast M2 Plus DLNA/Wifi Display Receiver/Chromecast/Airplay WiFi 1080P FHD HDMI TV Stick Dongle,1,Yes,999,"1,599",JagdambaEntrprises (3.7)
MBOX,iPazzPort Backlit Wireless Mini Keyboard with Usb,1 * Wireless keyboard 1 * Wireless receiver 1 * Charging data cable 1 * User manual,No,"1,476","2,199",Digicartz (3.8)
AVB,Mini VGA Audio to HDMI 1080P Converter Adapter,"1 x VGA to HDMI converter, 1 x Mini USB power cable",Yes,529,"2,999",AVB (3.9)
Elegant Shopping,Multi-Screen Interactive Wifi Display Dongle Receiver Airplay Media Streaming Device Support Miracast DLNA,"1 No Wireless display dongle, 1 USB Port",Yes,"2,899","4,999",ELEGANTSHOPPYNG (3.5)
AlexVyan,USB (Male)To RJ45 + USB (Female) USB over Cat5/5e/6 Extension Adapter RJ45 -Up to 150ft Length USB Lan Extender USB to RJ45 LAN Prolong Cable Extender Extension Adapter (Boost Up to 150 feet) CCB-5249,1 Pair,No,399,699,AVB (3.9)
Terabyte,3 Port HDMI Switch with Remote 1080p,"1 x 3 Port HDMI Switch, 1 x Remote, 1 x User Manual","Yes, HDMI 1.4",699,"1,500",Ineshfashion (4.3)
Teratech,"3 in 1 Output port Mini 3D HDMI Amplifier Switch Switcher Splitter HUB Box (1080p) For HDTV, Projector, Camera, PS3, DVD",1,Yes,331,999,Ineshfashion (4.3)
Cubetek,"Himedia Q10PRO 4kHDR Smart TV Box with Android 7.0,2gb/16gb, USB3.0, SATA, 60fps, 10Bit, H.265V, Dual Band Wifi, Dolby 7.1, HDMI 2.0a","Media Player-1, Power Adapter-1, Remote-1, HDMI Cable-1","Yes, HDMI 2.0A","19,900",,Melodymedia (4)
Elegant Shopping,AnyCast M2 Plus DLNA/Wifi Display Receiver/Chromecast/Airplay WiFi 1080P FHD HDMI TV Stick Dongle (Black),"1 Wireless Airplay Wi-Fi Display Dongle Receiver,","Yes, 1.00","1,999","3,999",ELEGANTSHOPPYNG (3.5)
kaykon,Miracast TV Stick Dongle HDMI WiFi Display Receiver Mirascreen For Android Devices -Make Your TV Smart Now,1 Miracast Devices,"Yes, 2","2,299","3,399",KayKon (3.7)
Supershopperindia,2 Port VGA Switch,VGA Switch,No,255,500,AVB (3.9)
Blue Birds,Android 5.1 Media Streaming box for TV smart Media Streaming Device in HD (Black),"1 Android TV Box, 1 HDMI Cable, 1 Remote Controller, 1 Power Adapter, 1 User Manual",Yes,"3,499","7,999",BuyGenuine (3.5)
Oxza,1x8 HDMI Splitter,HDMi Splitter-Power Supply Adapter- User Manual,Yes,"2,499","4,999",JACKANDJILL (3.9)
Tapawire,3 in 1 Output port Mini 3D HDMI Amplifier Switch (1080p),1 HDMI Switch,Yes,379,999,SmartTech (3.7)
anweshas,CR2025 Battery 3 Port 1080P Video HDMI Switch Switcher Splitter IR Remote For HDTV PS3 DVD,CR2025 Battery 3 Port 1080P Video HDMI Switch Switcher Splitter IR Remote For HDTV PS3 DVD,Yes,599,"1,999",AnweshasCollection (3.7)
Shrih,3-in-1 Mini Displayport Thunderbolt to DVI VGA HDMI Converter Adapter,1 Video Converter,"Yes, 1.1","2,799","3,799",SHRIH (3.5)
AlexVyan,Black HDMI Male To VGA Female 1080P HD Video Without Aux Converter Adapter (Not for Set Top Box) ( No Audio) [Plug and Play][ It will not work as VGA to HDMI],1 HDMI to VGA,Yes,399,699,AVB (3.9)
Etake,3 Port HDMI Switch Switcher Changer with remote for HDTV PS3 DVD Media Streaming Device,"1 x Selector box, 1 x Remote",Yes,474,999,Ineshfashion (4.3)
VU4,1x8 HDMI Splitter Media Streaming Device,HDMi Splitter-Power Supply Adapter- User Manual,"Yes, HDMI 1.3, HDMI 1.4","2,999","4,999",QUICKDEEL (3.5)
Digimart,5 Port Hdmi Switch /Switcher With Remote & Power Adapter,5 Port HDMI switcher,Yes,"1,198","2,999",TechSense (3.9)
Piqancy,AnyCast M2 Plus Mini Wi-Fi Display TV Dongle Receiver 1080P Airmirror DLNA Airplay Miracast Easy Sharing HDMI TV Stick For HDTV,1,Yes,999,"1,599",JagdambaEntrprises (3.7)
Etake,3 Port HDMI Switch Media Streaming Device,HDMI Switch,Yes,331,999,Ineshfashion (4.3)
Axcess,HDMI to VGA Mini Converter,HDMI to VGA Mini Converter,Yes,999,"2,999",SmartShopee (3.8)
MEF,2 Ports VGA Switch to Connect Two CPU to One Display,1 VGA Selector Box,,255,499,AVB (3.9)
Digimart,Digicast TV Stick Wireless Display,"1 media Streaming Device, USB Cable for power",Yes,"2,299","2,999",TechSense (3.9)
