sellingPrice,url,model,seller,HDMI_Location,HDMI,regularPrice,source,brand,category,categories
"₹8,299",https://www.flipkart.com/micromax-50cm-20-inch-hd-ready-led-tv/p/itmetdh8zqcyfzsg?pid=TVSETDH8ZZ6FCCCX&srno=b_2_49&otracker=browse&lid=LSTTVSETDH8ZZ6FCCCXA329QY&fm=organic&iid=22f82a43-1f0f-4dc7-87a8-21d369d6e4b8.TVSETDH8ZZ6FCCCX.SEARCH,20A8100HD/20G8100HD,OmniTechRetail (4.1),1 Rear,1,"₹10,590",flipkart,Micromax,tv,"[""TV Unit"",""Remote Control"",""Battery"",""Quick Installation Guide/User Manual""]"
"₹8,499",https://www.flipkart.com/marq-flipkart-61cm-24-inch-full-hd-led-tv/p/itmf3zxgnmgbyen8?pid=TVSEWMCBVHJJFFZX&srno=b_2_50&otracker=browse&lid=LSTTVSEWMCBVHJJFFZXB1Q1KK&fm=organic&iid=REQ07965303d3cf41ee917caff531eaf5cc_2,24DAFHD,OmniTechRetail (4.1),Rear,1,"₹11,499",flipkart,MarQ,tv,"[""Television, Remote, Wallmount Stand, 2 x AAA Batteries, 2 x Desktop Stand, 4 x Stand Support Crews, User Manual""]"
"₹65,999",https://www.flipkart.com/sony-bravia-x7002e-series-123-2cm-49-inch-ultra-hd-4k-led-smart-tv/p/itmew5jubunngqab?pid=TVSEW5JUPTN8YKPM&srno=b_2_51&otracker=browse&lid=LSTTVSEW5JUPTN8YKPMJN3ZEP&fm=organic&iid=07f55bc7-dc54-46c5-9eb1-e487b3b3a899.TVSEW5JUPTN8YKPM.SEARCH,KD-49X7002E,OmniTechRetail (4.1),"2 Side, 1 Rear",3,"₹89,900",flipkart,Sony,tv,"[""1 TV Unit"",""Warranty Card"",""AC Adapter"",""AC Power Cord"",""Remote Control"",""2 Batteries"",""Table-top Stand"",""3 Instruction Manuals""]"
"₹18,999",https://www.flipkart.com/cloudwalker-spectra-109cm-43-inch-full-hd-led-tv/p/itmezgpkpdg2jq58?pid=TVSEZGPKZVA2J6J9&srno=b_2_52&otracker=browse&lid=LSTTVSEZGPKZVA2J6J9A7Y5R7&fm=organic&iid=ac0e75cb-8875-4af1-96b9-da5739e517f4.TVSEZGPKZVA2J6J9.SEARCH,43AF,OmniTechRetail (4.1),3 Back,3,"₹32,990",flipkart,CloudWalker,tv,"[""1 LED TV Unit"",""User Manual"",""Warranty Card"",""Remote Control"",""2 AAA Batteries"",""Sales Invoice Copy""]"
"₹23,999",https://www.flipkart.com/sanyo-nxt-108-2cm-43-inch-full-hd-led-tv/p/itmf3hcjpuyuh6kq?pid=TVSEWDEEVUMUYJJD&srno=b_2_53&otracker=browse&lid=LSTTVSEWDEEVUMUYJJDFVQRBI&fm=organic&iid=746c3bc6-a72b-4231-b9e3-9db5f8677466.TVSEWDEEVUMUYJJD.SEARCH,XT-43S7200F,OmniTechRetail (4.1),"2 Side, 1 Bottom",3,"₹39,990",flipkart,Sanyo,tv,"[""TV Set, Pedestal, Remote, Batteries (2), AV Out Cable, User Manual, Wall Mount""]"
"₹11,999",https://www.flipkart.com/polaroid-80cm-31-5-inch-hd-ready-led-tv/p/itmffrm3knqkne6e?pid=TVSFFRM3ZHYXBSQN&srno=b_2_54&otracker=browse&lid=LSTTVSFFRM3ZHYXBSQNURYQFF&fm=organic&iid=REQ07965303d3cf41ee917caff531eaf5cc_3,LEDPO32A,LAPPYMASTER (3.6),2 Bottom Side,2,"₹15,999",flipkart,Polaroid,tv,"[""1 TV Unit"",""Manual"",""Remote Control"",""Adapter""]"
"₹21,999",https://www.flipkart.com/sony-80cm-32-inch-hd-ready-led-smart-tv/p/itmf5fjunhgmgbyj?pid=TVSF5FJUZMCRHKRP&srno=b_2_55&otracker=browse&lid=LSTTVSF5FJUZMCRHKRP7WKRRJ&fm=organic&iid=63d39a1b-727d-49d1-93ce-c880af0d542c.TVSF5FJUZMCRHKRP.SEARCH,R302F,OmniTechRetail (4.1),"1 Side, 1 Rear",2,"₹28,900",flipkart,Sony,tv,"[""1 TV Unit"",""Table Top Stand"",""Remote Control"",""Batteries"",""AC Power Adaptor"",""AC Power Cord"",""Operating Instructions"",""Quick Setup Guide""]"
"₹9,999",https://www.flipkart.com/panasonic-55cm-22-inch-full-hd-led-tv/p/itmekrd8dca6jgh7?pid=TVSEKRD8FSJ4RZVC&srno=b_2_56&otracker=browse&lid=LSTTVSEKRD8FSJ4RZVCL97PKC&fm=organic&iid=4ebfd409-25d6-4337-8c84-da70f1841cf0.TVSEKRD8FSJ4RZVC.SEARCH,TH-22D400DX,OmniTechRetail (4.1),Rear,1,"₹14,500",flipkart,Panasonic,tv,"[""Wall Mount - Shipped with TV unit"",""Remote""]"
"₹16,499",https://www.flipkart.com/cloudwalker-spectra-100cm-39-inch-full-hd-led-tv/p/itmezgpknfnf8xgz?pid=TVSEZGPKW8C6NAAG&srno=b_2_57&otracker=browse&lid=LSTTVSEZGPKW8C6NAAG2G9VOK&fm=organic&iid=2f0992fb-b2cb-4f52-b452-663b889f340e.TVSEZGPKW8C6NAAG.SEARCH,39AF,OmniTechRetail (4.1),2 Back,2,"₹26,990",flipkart,CloudWalker,tv,"[""1 LED TV Unit"",""User Manual"",""Warranty Card"",""Remote Control"",""2 AAA Batteries"",""Sales Invoice Copy""]"
"₹11,999",https://www.flipkart.com/kodak-80cm-32-inch-hd-ready-led-tv/p/itmess8c66earkxq?pid=TVSESS8CYCWC6GWJ&srno=b_2_58&otracker=browse&lid=LSTTVSESS8CYCWC6GWJ4T0UQ6&fm=organic&iid=10e22fab-d81f-4348-886d-6f01a4c9f077.TVSESS8CYCWC6GWJ.SEARCH,32HDX900s,OmniTechRetail (4.1),2 Back,2,"₹16,990",flipkart,Kodak,tv,"[""TV Unit"",""Remote Control"",""2 AAA Batteries"",""Power Cord"",""Cable Tie"",""User Manual"",""Vesa Wall Mounting Brackets""]"
